,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
198712,6.81,0.09,-4.45,3.01,-2.36,0.39,5.83
198801,4.21,-0.54,4.99,-1.12,2.09,0.29,-7.58
198802,4.75,3.32,-1.62,1.56,-0.11,0.46,-1.54
198803,-2.27,6.25,0.72,-0.16,1.91,0.44,0.63
198804,0.56,1.12,1.7,-0.23,1.9,0.46,2.25
198805,-0.29,-2.59,2.33,-0.7,0.38,0.51,0.64
198806,4.79,2.19,-1.09,1.42,-3.25,0.49,-2.91
198807,-1.25,-0.17,2.2,-0.59,1.44,0.51,0.63
198808,-3.31,-0.01,2.12,-0.74,1.73,0.59,0.33
198809,3.3,-1.31,-0.68,1.73,-0.49,0.62,0.23
198810,1.15,-2.95,1.7,1.4,1.05,0.61,1.31
198811,-2.29,-1.66,1.3,-0.28,1.6,0.57,0.42
198812,1.49,2.01,-1.54,0.63,-0.37,0.63,0.42
198901,6.1,-2.23,0.49,-1.03,0.16,0.55,-0.14
198902,-2.25,2.67,0.9,-0.81,1.9,0.61,0.94
198903,1.57,0.77,0.47,0,0.79,0.67,3.56
198904,4.33,-0.69,-1.42,0.75,-0.54,0.67,1.69
198905,3.35,-0.01,-0.9,0.5,-0.03,0.79,1.56
198906,-1.35,-1.07,2.27,0.22,1.52,0.71,0.63
198907,7.2,-4.05,-2.79,1.97,-0.61,0.7,5.41
198908,1.44,0.43,0.63,0.34,-0.5,0.74,-0.15
198909,-0.76,0.44,-1.25,1.36,0.59,0.65,3.4
198910,-3.67,-3.32,-1.07,0.01,0.01,0.68,1.36
198911,1.03,-1.33,-1.07,-0.97,1.47,0.69,2.58
198912,1.16,-2.3,0.21,-0.06,1.44,0.61,2.79
199001,-7.85,-1.32,0.78,-1.13,1.32,0.57,-3.28
199002,1.11,1.19,0.65,-0.2,-0.64,0.57,-0.53
199003,1.83,1.66,-3.03,2.18,-1.03,0.64,1.64
199004,-3.36,-0.39,-2.47,1.72,-0.97,0.69,2.43
199005,8.42,-2.39,-3.89,1.63,-1.57,0.68,3.05
199006,-1.09,1.37,-1.99,-1.05,-0.34,0.63,2.43
199007,-1.9,-3.26,-0.11,-0.26,3.1,0.68,5.94
199008,-10.15,-3.85,1.63,-0.43,2.99,0.66,1.76
199009,-6.12,-3.78,0.71,-0.15,3.71,0.6,5.56
199010,-1.92,-5.1,0.19,2.83,-0.49,0.68,6.73
199011,6.35,-0.04,-3.21,0.83,-4.75,0.57,-5.62
199012,2.46,0.59,-1.72,2.84,-2,0.6,0.02
199101,4.69,3.86,-1.74,1.56,-4.08,0.52,-6.55
199102,7.19,3.97,-0.55,-0.25,-0.16,0.48,-4.75
199103,2.65,3.85,-1.32,-0.37,-0.99,0.44,2.76
199104,-0.28,0.32,1.48,0.52,0.71,0.53,-2.4
199105,3.65,0.16,-0.57,2.1,-2.45,0.47,-0.09
199106,-4.94,0.18,1.23,1.75,0.63,0.42,0.46
199107,4.24,-0.96,-1.25,1.6,-1.41,0.49,4.34
199108,2.32,1.44,-0.83,0.87,-0.55,0.46,1.63
199109,-1.59,1.56,-0.98,-1.81,0.16,0.46,1.73
199110,1.29,0.94,-0.47,-1.73,-0.29,0.42,3.22
199111,-4.19,-0.87,-1.85,1.06,0.12,0.39,1.26
199112,10.84,-2.42,-4.11,3.57,-3.12,0.38,8.3
199201,-0.59,9.26,4.61,-1.33,3.15,0.34,-2.51
199202,1.09,1.35,6.37,0.11,2.04,0.28,-0.58
199203,-2.66,-0.9,3.61,-0.1,1.93,0.34,-0.36
199204,1.07,-5.73,4.27,1.69,2.22,0.32,-2.54
199205,0.3,0.22,1.25,-0.98,0.43,0.28,0.13
199206,-2.34,-2.71,3.36,-0.05,1.07,0.32,-0.61
199207,3.77,-0.61,-0.37,1.4,-0.72,0.31,1.44
199208,-2.38,-0.43,-1.06,3.73,-1.62,0.26,-0.51
199209,1.19,0.5,-0.28,1.63,-0.5,0.26,1.43
199210,1.02,2.03,-2.01,1.3,-0.8,0.23,2.71
199211,4.13,3.93,-1.4,-0.77,-1.91,0.23,-0.34
199212,1.53,1.64,2.63,-0.41,0.75,0.28,4.44
199301,0.93,2.07,5.92,-1.73,2.78,0.23,4.83
199302,0.12,-3.47,6.41,-0.59,4.05,0.22,3.1
199303,2.3,0.06,1.31,-0.14,0.92,0.25,3.74
199304,-3.05,-0.86,2.52,-3.58,1.52,0.24,0.33
199305,2.89,1.9,-3.45,0,-1.18,0.22,0.3
199306,0.31,0.11,2.72,-0.97,1.09,0.25,4.57
199307,-0.34,0.89,2.82,-1.84,2.03,0.24,3.25
199308,3.71,0.13,0.13,-1.59,-0.04,0.25,2.58
199309,-0.12,2.98,-0.25,0.26,-0.08,0.26,3.41
199310,1.41,1.9,-2.72,0.55,0.59,0.22,-2.67
199311,-1.89,-1.26,-0.77,2.25,-0.96,0.25,-4.71
199312,1.65,1.39,0.36,1.13,-0.32,0.23,2.28
199401,2.87,-0.01,1.13,-1.59,1.45,0.25,0.02
199402,-2.55,2.66,-1.59,2.2,-1.03,0.21,-0.29
199403,-4.78,-1.11,1.63,0.55,1.27,0.27,-1.33
199404,0.68,-1.06,1.66,1.11,1.12,0.27,0.41
199405,0.58,-2.52,0.66,0.66,0.7,0.31,-2.15
199406,-3.03,-0.52,1.72,1.15,1.53,0.31,-0.82
199407,2.82,-1.84,0.56,-0.63,0.11,0.28,0.19
199408,4.01,1.34,-2.47,0.9,-1.45,0.37,1.56
199409,-2.31,2.78,-1.87,0.51,0.93,0.37,1.33
